period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
9/1/2019,9/30/2019,30,county,5,3221,f,"Shawano County, WI",,Wisconsin,WI,Single Family Residential,6,135500,0.046332046,0.003703704,140950,0.1276,0.410910911,83.25171401,-0.058615234,-0.023513668,82.79374697,0.069949961,0.102427269,33,-0.25,0.03125,24,-0.2,0.142857143,58,0.414634146,0.414634146,177,0.113207547,0.085889571,5.4,1.8,0.3,65,-14,-23,0.974363666,0.013002912,0.036592523,0.212121212,0.053030303,0.087121212,0.209039548,-0.029954163,0.0986101,0.041666667,-0.025,-0.005952381,"Shawano, WI",43020,3/19/2023
11/1/2016,11/30/2016,30,county,5,440,f,"Bradford County, FL",,Florida,FL,All Residential,-1,117500,0.958333333,0.415662651,179900,0.873958333,-0.350424264,73.45264728,1.058557525,0.432263569,87.22222222,-0.036921296,-0.25451876,5,-0.285714286,-0.375,2,0,-0.5,3,-0.666666667,-0.25,33,-0.083333333,-0.4,6.6,1.5,-0.3,97,-23,42,0.927848982,0.007596201,0.033712398,0,0,-0.125,,,,0,0,0,Florida nonmetropolitan area,,3/19/2023
12/1/2020,12/31/2020,30,county,5,859,f,"LaPorte County, IN",,Indiana,IN,Townhouse,13,189900,-0.224897959,-0.469581223,149900,-0.087088916,0.071479628,120.1898734,-0.403465771,-0.070370426,88.77243709,-0.161441902,-0.011173687,3,2,0.5,1,,0,1,-0.5,-0.5,6,-0.25,-0.142857143,2,-6,-1.5,94,-32,-230,0.973121717,0.011960477,-0.220219748,0,0,-0.5,,,,0,,0,"Michigan City, IN",33140,3/19/2023
11/1/2021,11/30/2021,30,county,5,336,f,"Sacramento County, CA",,California,CA,Multi-Family (2-4 Unit),4,539500,0.064220111,0.114669421,485000,-0.026104418,0.077897544,275.9209745,-0.018094204,0.213465222,317.6229508,0.002311747,0.274212665,73,0.520833333,0.622222222,54,-0.289473684,-0.425531915,50,-0.242424242,-0.473684211,86,-0.196261682,-0.338461538,1.2,-1,-1.7,15,0,0,0.996044724,-0.009729952,0.010534923,0.465753425,-0.013413242,0.065753425,0.162790698,0.003912193,-0.04490161,0.62962963,0.10331384,0.065799842,"Sacramento, CA",40900,3/19/2023
2/1/2019,2/28/2019,30,county,5,909,f,"Appanoose County, IA",,Iowa,IA,Single Family Residential,6,68500,-0.341346154,,83000,0.187410587,,47.75817847,-0.350949093,,69.79315705,0.294019049,,7,-0.125,,2,0,,9,0,,44,0.047619048,,6.3,1,,167,17,,0.936893905,0.031730712,,0.142857143,0.017857143,,,,,0,0,,Iowa nonmetropolitan area,,3/19/2023
1/1/2023,1/31/2023,30,county,5,3212,f,"Portage County, WI",,Wisconsin,WI,Multi-Family (2-4 Unit),4,218000,-0.009090909,-0.078224101,227450,0.041199359,-0.241580527,,,,124.9,-0.176232061,-0.166784445,4,1,1,4,3,3,1,-0.888888889,0,9,-0.25,0.125,2.3,-3.7,-1.7,43,26,-69,0.990096038,-0.02100977,-0.014789955,0,-1,-0.5,0.111111111,,-0.013888889,0,0,0,"Stevens Point, WI",44620,3/19/2023
8/1/2019,8/31/2019,30,county,5,151,f,"Hale County, AL",,Alabama,AL,All Residential,-1,109500,0.117346939,,127400,1.12687813,,107.2540997,0.673995747,,102.9877001,0.403775767,,6,0.5,,3,,,2,-0.714285714,,12,-0.25,,2,-2,,81,-30,,0.962614527,0.00260023,,0,0,,,,,0,,,"Tuscaloosa, AL",46220,3/19/2023
7/1/2015,7/31/2015,30,county,5,2362,f,"Allegheny County, PA",,Pennsylvania,PA,Multi-Family (2-4 Unit),4,84000,-0.269565217,0.105263158,147000,-0.069031032,0.033391916,41.32519616,-0.076310615,0.218005782,107.019019,-0.035182383,0.049754397,48,0.11627907,-0.020408163,20,0.333333333,0,72,-0.12195122,-0.242105263,,,,8.9,-1.1,-0.1,137,13,25,0.898850026,-0.025375788,0.002675325,0.0625,-0.077034884,-0.05994898,0.214953271,0.019604434,0.131242864,0.1,0.033333333,0.1,"Pittsburgh, PA",38300,3/19/2023
6/1/2017,6/30/2017,30,county,5,2936,f,"Windsor County, VT",,Vermont,VT,All Residential,-1,215000,0.108247423,0.146666667,254500,-0.074545455,0.022088353,128.5842294,0.093935813,0.133436447,129.4498382,-0.094211717,0.052022987,107,0.009433962,0.091836735,36,-0.1,-0.12195122,164,-0.150259067,-0.083798883,843,0.023058252,-0.155310621,7.9,0.1,-2.3,128,12,-11,0.945837172,0.008730503,0.005264962,0.093457944,0.027420208,0.022029372,0.134045077,0.006617893,-0.001225464,0.138888889,-0.011111111,-0.10501355,"Lebanon, NH",30100,3/19/2023
1/1/2018,1/31/2018,30,county,5,1901,f,"Mercer County, NJ",,New Jersey,NJ,Condo/Co-op,3,170000,-0.052924791,-0.011627907,226950,0.300573066,0.031825415,147.1402157,-0.061275149,-0.002627943,147.4944321,0.206266042,-0.036453742,19,-0.5,-0.387096774,22,0.222222222,0.571428571,37,0.193548387,-0.301886792,126,0.016129032,-0.236363636,6.6,3.3,1.3,63,-10,16,0.955735912,-0.01499431,0.009502993,0,-0.105263158,-0.096774194,0.19047619,0.117895545,0.075324675,0.181818182,0.015151515,-0.032467532,"Trenton, NJ",45940,3/19/2023
