period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
12/1/2017,12/31/2017,30,county,5,396,f,"Larimer County, CO",,Colorado,CO,Multi-Family (2-4 Unit),4,465000,-0.016393443,-0.065326633,359900,0,0.043188406,194.0969063,0.139896546,0.002730929,180,0.075494368,0.123976963,7,0.75,0.166666667,2,-0.666666667,-0.5,1,-0.857142857,-0.5,7,-0.222222222,-0.125,1,-1.3,-0.3,29,-31,-44,0.978250956,-0.013327991,-0.003382675,0.142857143,-0.107142857,-0.19047619,,,,0,-0.333333333,0,"Fort Collins, CO",22660,3/19/2023
9/1/2017,9/30/2017,30,county,5,1515,f,"Winona County, MN",,Minnesota,MN,Townhouse,13,163000,-0.166666667,,140950,,,133.378933,0.109712722,,92.08696191,,,3,0,,,,,2,,,5,0,,1.7,0,,153,96,,0.976820399,-0.017578434,,0,-0.333333333,,,,,,,,"Winona, MN",49100,3/19/2023
4/1/2022,4/30/2022,30,county,5,949,f,"Henry County, IA",,Iowa,IA,All Residential,-1,93000,-0.333333333,-0.452941176,152400,0.281749369,0.2192,68.22612086,-0.415261504,-0.501424501,135.549433,0.260772875,0.210158984,9,-0.25,-0.4,4,-0.428571429,-0.555555556,15,0.25,0.666666667,35,0.206896552,0.060606061,3.9,1.5,1.7,102,16,39,0.961382965,-0.010774183,-0.022210012,0.222222222,0.055555556,-0.044444444,,,,0,-0.142857143,0,Iowa nonmetropolitan area,,3/19/2023
3/1/2012,3/31/2012,30,county,5,2396,f,"Lancaster County, PA",,Pennsylvania,PA,Condo/Co-op,3,105805,-0.332249921,-0.287508418,178700,0.027011494,0.052104798,79.61574508,-0.074972107,-0.227423911,100.4223787,0.027300835,0.027127047,10,0.666666667,0.25,4,-0.2,0.333333333,11,-0.153846154,-0.421052632,70,-0.078947368,-0.333333333,7,-5.7,-6.1,249,137,139,0.944354162,-0.024544516,-0.024322024,0.2,0.033333333,0.075,,,,0.25,-0.55,-0.083333333,"Lancaster, PA",29540,3/19/2023
8/1/2020,8/31/2020,30,county,5,1036,f,"Gove County, KS",,Kansas,KS,All Residential,-1,49500,0.5,,118500,0.490566038,,22.09821429,0.222767857,,51.52858881,-0.015447467,,1,0,,1,,,2,1,,4,0.333333333,,4,1,,90,-79,,,,,0,0,,,,,0,,,Kansas nonmetropolitan area,,3/19/2023
2/1/2020,2/29/2020,30,county,5,2193,f,"Harrison County, OH",,Ohio,OH,Single Family Residential,6,122500,-0.124374553,1.207207207,115000,-0.163332121,-0.17236416,66.63997016,-0.283045838,1.333656314,76.25531909,-0.051058679,-0.226634962,6,-0.333333333,-0.25,1,-0.75,-0.666666667,13,0.181818182,-0.133333333,56,0.098039216,0.056603774,9.3,3.6,2.7,145,33,37,0.906622283,-0.060895415,0.002282898,0,-0.333333333,-0.125,,,,0,0,0,Ohio nonmetropolitan area,,3/19/2023
8/1/2017,8/31/2017,30,county,5,1115,f,"Bath County, KY",,Kentucky,KY,All Residential,-1,83500,-0.200956938,-0.197886647,149500,1.718181818,0.575342466,64.11830357,-0.082978103,-0.280592634,93.4375,0.649246032,0.601785714,5,1.5,0,4,0.333333333,-0.2,7,0,-0.461538462,29,-0.09375,-0.292682927,5.8,-10.2,-2.4,36,-34,-6,0.963040725,-0.022077316,0.011351069,0.2,-0.3,0.2,0.24137931,0.02262931,0.021867115,0.25,0.25,-0.15,"Mount Sterling, KY",34460,3/19/2023
8/1/2021,8/31/2021,30,county,5,1330,f,"Washington County, MD",,Maryland,MD,All Residential,-1,270000,0.080432173,0.168831169,250000,-0.038091574,0.048437828,141.025641,0.010299991,0.170482244,141.2976405,0.026474224,0.104578499,231,0,0.054794521,241,0.255208333,0.235897436,261,-0.077738516,0.285714286,374,-0.005319149,-0.053164557,1.6,0,-0.2,22,3,-20,1.005617482,-0.001685332,0.013981082,0.428571429,-0.056277056,0.168297456,0.299465241,0.038826943,0.081743722,0.46473029,-0.08214471,0.013448239,"Hagerstown, MD",25180,3/19/2023
7/1/2022,7/31/2022,30,county,5,966,f,"Madison County, IA",,Iowa,IA,All Residential,-1,169500,-0.215277778,-0.089932886,229500,0.1475,0.330434783,122.3209618,-0.271237605,-0.116640941,141.6533254,0.142442386,-0.042019799,17,-0.227272727,-0.346153846,12,-0.454545455,-0.368421053,16,-0.407407407,0,29,0.074074074,0.611111111,1.7,0.5,1,11,-5,5,0.98050068,-0.007899558,-0.015197661,0.235294118,0.00802139,-0.149321267,0.172413793,-0.197956577,-0.272030651,0.666666667,-0.060606061,0.140350877,"Des Moines, IA",19780,3/19/2023
4/1/2014,4/30/2014,30,county,5,1319,f,"Frederick County, MD",,Maryland,MD,Condo/Co-op,3,132450,-0.089690722,-0.128618421,289900,-0.033344448,-0.023042251,136.2962963,0.132714007,0.071352283,145.8360573,0.000591758,-0.016502743,18,0.5,0.384615385,20,0.052631579,1.222222222,28,-0.125,0.555555556,60,0.090909091,1.608695652,3.3,-1.3,1.5,14,-23,-25,0.979979375,0.015757303,0.011409236,0.166666667,0.083333333,0.012820513,0.2,0.018181818,0.026086957,0.5,-0.236842105,0.055555556,"Frederick, MD",23224,3/19/2023
9/1/2016,9/30/2016,30,county,5,647,f,"Union County, GA",,Georgia,GA,All Residential,-1,170000,-0.128205128,0.03030303,183950,-0.077713713,-0.098036716,94.49760766,-0.018094149,-0.027342902,108.05562,0.087527531,0.068078646,55,-0.126984127,-0.202898551,22,0,-0.153846154,57,0.096153846,0.096153846,310,-0.034267913,-0.046153846,5.6,0.5,0.9,102,-12,-44,0.948294315,-0.002583072,0.019535075,0.090909091,0.043290043,0.076416337,,,,0,0,-0.115384615,Georgia nonmetropolitan area,,3/19/2023
11/1/2012,11/30/2012,30,county,5,1958,f,"Dutchess County, NY",,New York,NY,Multi-Family (2-4 Unit),4,135000,0.35,-0.174311927,235000,-0.020792533,-0.040424663,60.71428571,0.240514286,0.149891775,112.5686723,-0.026873702,-0.043818227,7,0,-0.416666667,1,-0.666666667,-0.5,17,-0.227272727,-0.105263158,126,0.008,-0.197452229,18,0.1,4.9,196,97,66,0.865925748,0.003070717,-0.011012997,0,-0.142857143,0,,,,0,0,0,"Poughkeepsie, NY",39100,3/19/2023
11/1/2013,11/30/2013,30,county,5,2045,f,"Granville County, NC",,North Carolina,NC,Multi-Family (2-4 Unit),4,80000,0.509433962,-0.379844961,169900,0,,58.47953216,0.068079003,,92.01284839,-0.050359615,,1,0,0,,,,3,-0.4,,9,0.5,3.5,9,3,7,,,,1,0.115191987,0.043736101,0,0,0,,,,,,,"Durham, NC",20500,3/19/2023
7/1/2014,7/31/2014,30,county,5,561,f,"Forsyth County, GA",,Georgia,GA,All Residential,-1,280000,-0.015817223,0.064638783,279950,-0.124882776,0.018,105.2804523,0.025099141,0.076868627,107.0634921,-0.019568665,0.046997526,556,0.018315018,0.151138716,359,-0.109181141,0.094512195,628,-0.101573677,0.261044177,1873,0.062393647,0.278498294,3.4,0.2,0.4,35,3,-8,0.975780011,0.000373141,-0.001143066,0.152877698,0.004526049,-0.012753772,0.476241324,0.007721755,0.056446102,0.306406685,0.008639936,0.059455466,"Atlanta, GA",12060,3/19/2023
8/1/2019,8/31/2019,30,county,5,2710,f,"El Paso County, TX",,Texas,TX,Single Family Residential,6,165000,0,0.064516129,175950,0.041278296,0.086446434,97.09717517,0.014398327,0.053310156,101.0058395,0.034439115,0.084913541,851,0.084076433,0.041615667,664,-0.082872928,0.23880597,959,-0.083173996,0.066740823,2752,-0.001813565,-0.061071307,3.2,-0.3,-0.4,43,-3,-21,0.981016936,-0.002422259,0.000326728,0.142185664,-0.029788858,0.022234624,0.166787791,0.007556742,-4.95E-05,0.370481928,-0.00520868,0.092496853,"El Paso, TX",21340,3/19/2023
4/1/2022,4/30/2022,30,county,5,1938,f,"Santa Fe County, NM",,New Mexico,NM,Townhouse,13,420000,-0.056179775,-0.066666667,585000,0.044642857,0.258064516,369.8633944,0.20502324,0.438028878,334.4397927,0.004001444,0.224985601,7,-0.416666667,-0.222222222,10,0.111111111,0.666666667,13,0.625,0,15,0.25,-0.166666667,2.1,1.1,0.1,11,-18,-23,1.051135005,-0.012641074,0.034421833,0.714285714,0.047619048,0.047619048,0.266666667,0.016666667,0.155555556,0.7,0.255555556,0.366666667,"Santa Fe, NM",42140,3/19/2023
3/1/2021,3/31/2021,30,county,5,1701,f,"Shelby County, MO",,Missouri,MO,All Residential,-1,65000,0,-0.207317073,59900,,-0.001666667,73.28072153,0.355129651,1.064371546,32.37837838,,-0.579081081,3,0,2,,,,1,,0,3,0.5,0.5,1,0.3,-1,,,,0.840396504,-0.052460638,-0.124309378,0,0,0,,,,,,,Missouri nonmetropolitan area,,3/19/2023
4/1/2020,4/30/2020,30,county,5,2731,f,"Gregg County, TX",,Texas,TX,Single Family Residential,6,205000,0.443661972,,144990,-0.3253141,,120.6592113,0.810737882,,133.0183486,0.051643436,,1,0,,1,,,4,3,,8,0.6,,8,3,,23,-154,,0.953932061,-0.049247027,,0,-1,,,,,0,,,"Longview, TX",30980,3/19/2023
7/1/2017,7/31/2017,30,county,5,242,f,"Conway County, AR",,Arkansas,AR,All Residential,-1,118000,0.279132791,1.458333333,110000,-0.059024808,-0.196787149,62.28373702,0.3689311,0.557093426,81.36020151,0.323458005,-0.025226947,5,-0.6875,0,3,-0.5,0.5,13,0.083333333,0.625,43,0.228571429,1.047619048,8.6,6.4,4.4,59,-65,-43,0.971157403,0.0905732,0.059271463,0.2,0.075,0,,,,0,0,0,Arkansas nonmetropolitan area,,3/19/2023
3/1/2012,3/31/2012,30,county,5,159,f,"Lee County, AL",,Alabama,AL,All Residential,-1,60299,-0.48985186,,,,,62.09989701,-0.231888176,,,,,1,0,,,,,,,,1,-0.5,,1,-1,,134,66,,0.876438953,-0.125247487,,0,-1,,,,,,,,"Auburn, AL",12220,3/19/2023
6/1/2022,6/30/2022,30,county,5,1948,f,"Broome County, NY",,New York,NY,Multi-Family (2-4 Unit),4,117500,-0.06,0.350574713,150000,-0.031789576,-0.0625,49.67105263,-0.14739397,0.139229626,92.58830342,0.053827682,0.033556791,24,-0.076923077,-0.04,15,-0.285714286,0.153846154,36,0.090909091,0.2,120,0.034482759,0.2,5,0.5,1,167,62,81,0.924821736,-0.044907741,-0.026397758,0.166666667,-0.141025641,0.006666667,,,,0.533333333,0.247619048,0.533333333,"Binghamton, NY",13780,3/19/2023
1/1/2015,1/31/2015,30,county,5,1958,f,"Dutchess County, NY",,New York,NY,Townhouse,13,251500,0.654605263,0.2575,254900,0.108742932,0.010705789,126.4318027,0.317506579,0.068302653,121.4902808,0.081762603,-0.010579265,10,0.111111111,0,3,-0.5,0.5,32,1.285714286,0.391304348,135,0.08,-0.007352941,13.5,-0.4,-0.1,108,3,-85,0.96117096,0.030469789,0.005443423,0.1,0.1,0,,,,0,0,0,"Poughkeepsie, NY",39100,3/19/2023
3/1/2012,3/31/2012,30,county,5,1425,f,"Shiawassee County, MI",,Michigan,MI,Multi-Family (2-4 Unit),4,12000,,0.043478261,,,,4.363636364,,-0.383957219,,,,1,,-0.5,,,,,,,1,,-0.5,1,,0,120,,23,0.612244898,,-0.244897959,0,,0,,,,,,,"Lansing, MI",29620,3/19/2023
5/1/2022,5/31/2022,30,county,5,446,f,"Clay County, FL",,Florida,FL,Townhouse,13,245000,0.032665964,0.183574879,364995,0.000260345,0.26734375,185.7585139,0.10521453,0.266090924,195.4085231,0.017658121,0.268390149,21,0.3125,-0.3,17,-0.055555556,-0.527777778,51,1.428571429,0.821428571,83,0.66,0.693877551,4,0.9,2.4,38,17,20,0.981902731,-0.034939734,-0.026249939,0.285714286,-0.151785714,-0.180952381,,,,0.588235294,-0.078431373,0.227124183,"Jacksonville, FL",27260,3/19/2023
4/1/2016,4/30/2016,30,county,5,2339,f,"Jackson County, OR",,Oregon,OR,Townhouse,13,192875,0.186923077,0.009816754,274950,0.009175996,-0.000181818,136.1245674,0.169414745,0.252803186,164.2454161,0.013894488,0.053161516,10,0.428571429,0.666666667,6,2,1,13,0.3,-0.133333333,32,0.066666667,0,3.2,-1.1,-2.1,99,-30,-12,0.97942475,0.004711968,0.015469834,0.1,-0.042857143,-0.066666667,,,,0.166666667,0.166666667,0.166666667,"Medford, OR",32780,3/19/2023
1/1/2021,1/31/2021,30,county,5,3208,f,"Ozaukee County, WI",,Wisconsin,WI,Condo/Co-op,3,157450,0.116666667,-0.257311321,337500,-0.099759936,-0.1508259,116.7940808,-0.063748263,-0.11342675,173.6343939,-0.051750571,0.029657558,10,-0.090909091,-0.333333333,6,0,-0.4,16,1.666666667,0,25,0.388888889,-0.444444444,2.5,0.9,-0.5,47,-1,9,0.978010229,-2.59E-06,-0.010313003,0.2,-0.163636364,-0.066666667,0.08,0.024444444,-0.12,0.166666667,0.166666667,-0.033333333,"Milwaukee, WI",33340,3/19/2023
7/1/2014,7/31/2014,30,county,5,1211,f,"Rockcastle County, KY",,Kentucky,KY,Single Family Residential,6,78750,0.319990949,0.078767123,82400,0.137336094,-0.229906542,57.13015572,0.49188903,0.371123737,52.03125,0.031652041,-0.096631221,6,0,-0.142857143,13,0.857142857,0.857142857,16,0.333333333,0.333333333,45,-0.0625,-0.1,7.5,-0.5,0.4,74,-77,-52,0.927917163,-0.02966239,-0.041249649,0,-0.166666667,-0.285714286,,,,0.615384615,-0.241758242,0.186813187,Kentucky nonmetropolitan area,,3/19/2023
6/1/2016,6/30/2016,30,county,5,2821,f,"Palo Pinto County, TX",,Texas,TX,Townhouse,13,173500,0.239285714,,195000,0.371308017,,174.5443153,0.919987469,,125.8322237,0.197666914,,2,1,,1,0,,2,-0.5,,7,0.166666667,,3.5,-2.5,,17,-180,,0.988888889,0.023371648,,0.5,0.5,,,,,1,1,,"Mineral Wells, TX",33420,3/19/2023
6/1/2014,6/30/2014,30,county,5,308,f,"Colusa County, CA",,California,CA,Single Family Residential,6,189599,-0.196614407,-0.299079482,205000,,0.413793103,120.3964762,0.016146259,0.164557474,95.57109557,,-0.230817458,8,0.333333333,1,,,,1,,0,3,0,-0.25,0.4,-0.1,-0.6,121,8,,1.020847932,0.002161475,0.057458733,0.75,0.083333333,0.5,,,,,,,California nonmetropolitan area,,3/19/2023
8/1/2022,8/31/2022,30,county,5,1134,f,"Clark County, KY",,Kentucky,KY,All Residential,-1,235000,-0.109848485,0.104842501,194700,-0.12690583,0.032891247,134.8755895,0.036239285,0.151157632,125.8116883,-0.048406139,0.060324943,43,0.387096774,-0.14,55,0.666666667,0.375,58,-0.033333333,-0.09375,94,-0.06,0.160493827,2.2,-1,0.6,34,13,22,0.981641156,-0.012217671,-0.004767523,0.162790698,-0.095273818,-0.197209302,0.510638298,0.250638298,0.23903336,0.4,0.006060606,-0.05,"Lexington, KY",30460,3/19/2023
11/1/2016,11/30/2016,30,county,5,531,f,"Cherokee County, GA",,Georgia,GA,All Residential,-1,237700,0.057149211,0.131904762,250000,-0.005964215,0.130198915,104.4415128,-0.013874566,0.053697413,109.1452206,-0.0011809,0.075048878,437,0.030660377,0.289085546,267,-0.046428571,0.068,370,-0.26,-0.010695187,1646,-0.070056497,-0.04965358,3.8,-0.4,-1.3,65,21,8,0.980056149,-0.006051086,0.004844702,0.153318078,-0.042436639,0.023524567,0.447144593,0.203641768,0.094950598,0.239700375,-0.071013911,-0.040299625,"Atlanta, GA",12060,3/19/2023
7/1/2018,7/31/2018,30,county,5,2990,f,"Louisa County, VA",,Virginia,VA,Townhouse,13,346000,0.231316726,-0.066152061,251450,0.009839357,,160.5568445,0.487667561,0.461656195,135.2161313,0.040186643,,1,-0.5,0,1,-0.5,,2,-0.6,,20,-0.047619048,0.052631579,20,9.5,1,536,458,424,0.935387943,-0.047577776,-0.064612057,0,-0.5,0,,,,0,0,,Virginia nonmetropolitan area,,3/19/2023
10/1/2019,10/31/2019,30,county,5,428,f,"Middlesex County, CT",,Connecticut,CT,Single Family Residential,6,272750,0.055125725,-0.000915751,269950,-0.062673611,0.042277992,153.0673236,-0.023560109,0.055358915,148.8706813,-0.024694681,0.024769624,178,0.047058824,-0.005586592,127,0.245098039,0.144144144,210,-0.106382979,-0.036697248,941,-0.07199211,0.029540481,5.3,-0.7,0.2,80,7,-5,0.964594698,-0.007031186,-0.00110836,0.174157303,0.009451421,0.006559538,0.284803401,0.004724505,0.000339506,0.070866142,-0.036976996,-0.037241966,"Hartford, CT",25540,3/19/2023
9/1/2018,9/30/2018,30,county,5,2941,f,"Amherst County, VA",,Virginia,VA,Single Family Residential,6,149100,-0.386419753,-0.429282297,229000,0.870151082,-0.083633453,116,-0.150288066,0.07670281,129.2666667,0.253034698,0.432847806,3,2,0.5,1,0,0,19,0.266666667,5.333333333,83,0.185714286,2.458333333,27.7,-42.3,15.7,280,217,168,1.048293208,0.075904252,0.136963095,0.666666667,0.666666667,0.666666667,,,,0,0,0,"Lynchburg, VA",31340,3/19/2023
3/1/2021,3/31/2021,30,county,5,2306,f,"Pawnee County, OK",,Oklahoma,OK,Single Family Residential,6,169750,0.255083179,0.741025641,124000,-0.32972973,-0.046153846,92.44722559,0.08855736,0.755325373,79.62269846,-0.04624919,0.098793239,10,-0.166666667,0,16,0.6,1.666666667,18,1,1.571428571,21,-0.222222222,-0.543478261,2.1,-0.2,-2.5,95,13,-4,0.984782898,-0.023152054,0.027356017,0.4,-0.183333333,0.3,0.19047619,,,0.5625,0.2625,0.5625,"Tulsa, OK",46140,3/19/2023
5/1/2017,5/31/2017,30,county,5,2782,f,"Lavaca County, TX",,Texas,TX,Single Family Residential,6,155000,0.402714932,-0.465517241,150000,-0.090909091,-0.372384937,84.00746733,-0.076297984,-0.369612269,108.6113266,0.088438111,-0.023352045,7,0,2.5,4,-0.2,1,9,-0.470588235,0.8,46,0.069767442,0.15,6.6,0.5,-13.4,156,118,56,0.938611408,-0.011818536,0.013762537,0,-0.285714286,0,0.065217391,,,0,-0.4,-0.5,Texas nonmetropolitan area,,3/19/2023
12/1/2016,12/31/2016,30,county,5,2932,f,"Orleans County, VT",,Vermont,VT,Single Family Residential,6,130100,-0.191925466,0.307537688,154700,-0.139120757,-0.11091954,89.58333333,-0.256507439,0.21241959,88.79359323,-0.130892439,-0.134688362,17,-0.291666667,-0.15,3,-0.625,-0.666666667,18,-0.25,-0.4,281,-0.081699346,-0.281329923,16.5,3.7,-3.1,260,38,54,0.915477783,-0.039857442,-0.008322517,0.058823529,-0.066176471,-0.041176471,0.067615658,-0.036959505,0.019022308,0,0,-0.222222222,Vermont nonmetropolitan area,,3/19/2023
12/1/2020,12/31/2020,30,county,5,1396,f,"Mackinac County, MI",,Michigan,MI,Single Family Residential,6,125000,,-0.62797619,45000,,-0.4375,115.2073733,,-0.075255102,31.77966102,,-0.582891949,1,,0,,,,1,,0,6,,-0.142857143,6,,-1,95,,-227,0.926612305,,-0.047653733,0,,0,,,,,,,Michigan nonmetropolitan area,,3/19/2023
9/1/2013,9/30/2013,30,county,5,1300,f,"Knox County, ME",,Maine,ME,All Residential,-1,166500,-0.263974537,-0.002994012,,,,116.1724433,0.111229811,-0.007316907,,,,58,0.526315789,1.148148148,,,,,,,2,0,,0,-0.1,,,,,0.904175703,-0.034615729,-0.021581514,0.017241379,-0.00907441,-0.019795658,,,,,,,Maine nonmetropolitan area,,3/19/2023
7/1/2014,7/31/2014,30,county,5,1342,f,"Middlesex County, MA",,Massachusetts,MA,All Residential,-1,450000,0.011235955,0.083436661,400000,-0.069551058,0.002506266,246.5335552,-0.000269444,0.030346414,236.6141214,-0.024624011,0.04345958,2145,0.009411765,-0.062090074,1697,0.002955083,0.007719715,1892,-0.212978369,0.093009821,6830,-0.074525745,0.00975754,3.2,-0.3,0.2,71,0,-5,1.000800551,-0.002721226,0.002257033,0.396270396,-0.019729604,0.020231918,0.161786237,-0.000815389,0.025624203,0.032410136,-0.002459841,-0.00203167,"Boston, MA",14454,3/19/2023
1/1/2019,1/31/2019,30,county,5,953,f,"Iowa County, IA",,Iowa,IA,All Residential,-1,131500,-0.151339142,,260500,0.599140577,,77.35588972,-0.022615343,,99.13945124,0.039205167,,10,0.25,,4,0,,10,-0.090909091,,45,-0.02173913,,4.5,-1.3,,108,26,,0.953855553,-0.047571109,,0.1,-0.15,,,,,0,0,,Iowa nonmetropolitan area,,3/19/2023
12/1/2019,12/31/2019,30,county,5,888,f,"Starke County, IN",,Indiana,IN,Single Family Residential,6,124900,0.24278607,0.315429173,97400,0.147232038,0.206939281,81.46775389,-0.023263736,0.305264304,58.95833333,-0.112585911,0.027196543,27,0.227272727,0.227272727,12,0.333333333,0,9,-0.571428571,-0.470588235,120,-0.14893617,0.090909091,4.4,-2,-0.6,143,31,62,0.961481995,0.045060809,-0.003395972,0.185185185,0.003367003,0.13973064,,,,0.083333333,0.083333333,0.083333333,Indiana nonmetropolitan area,,3/19/2023
6/1/2019,6/30/2019,30,county,5,2574,f,"Greene County, TN",,Tennessee,TN,Single Family Residential,6,134700,-0.051408451,0.060629921,159900,-0.07518797,0,86.84137189,-0.035353519,0.329288401,96.62021349,0.049503773,0.015192666,70,-0.014084507,9,35,-0.326923077,10.66666667,62,-0.088235294,5.888888889,209,-0.036866359,3.543478261,3,-0.1,-3.6,96,44,37,0.950457487,-0.018754588,0.00895749,0.157142857,0.030382294,0.157142857,,,,0.114285714,0.018131868,-0.219047619,"Greeneville, TN",24620,3/19/2023
1/1/2020,1/31/2020,30,county,5,1632,f,"Dent County, MO",,Missouri,MO,All Residential,-1,75000,-0.307159353,-0.509803922,88900,-0.234939759,-0.191818182,54.96007134,-0.199760049,-0.185465217,76.03686636,0.246358441,0.396336444,10,-0.166666667,1,6,-0.142857143,0.2,9,0.125,-0.307692308,53,-0.131147541,-0.361445783,5.3,0.2,-11.3,138,5,63,0.944007631,-0.014483479,0.070044116,0.1,-0.066666667,0.1,0.132075472,0.033714816,0.083882701,0.333333333,0.19047619,0.333333333,Missouri nonmetropolitan area,,3/19/2023
10/1/2013,10/31/2013,30,county,5,1334,f,"Barnstable County, MA",,Massachusetts,MA,Single Family Residential,6,360000,-0.052631579,0.094224924,369000,-0.01521217,0.03958304,221.6209594,-0.046121186,0.012494216,245.2651515,-0.002689068,0.104954545,408,0.046153846,0.221556886,168,0.063291139,0.244444444,458,-0.199300699,0.062645012,2947,-0.045042126,0.026829268,7.2,-0.7,-1.4,118,9,-7,0.948492046,0.000328993,0.003120675,0.029411765,-0.050075415,-0.030468475,,,,0.125,0.011075949,0.036111111,"Barnstable Town, MA",12700,3/19/2023
7/1/2017,7/31/2017,30,county,5,3163,f,"Adams County, WI",,Wisconsin,WI,Condo/Co-op,3,153000,0.1953125,,120000,-0.154929577,,95.625,0.261801758,,86.25,-0.077964602,,4,-0.333333333,,1,-0.75,,3,-0.4,,31,-0.060606061,,7.8,2.3,,91,-57,,0.926087588,-0.033566286,,0,0,,0.161290323,-0.020527859,,0,0,,Wisconsin nonmetropolitan area,,3/19/2023
3/1/2015,3/31/2015,30,county,5,3058,f,"Petersburg, VA",,Virginia,VA,All Residential,-1,67200,0.273933649,-0.249983259,89000,0.271428571,0.130876747,40.5027933,0.09043994,-0.091377896,60.53774929,0.23109567,0.242552591,27,0.5,0.285714286,10,-0.411764706,1,31,0.068965517,-0.295454545,164,-0.052023121,-0.132275132,6.1,-3.5,-2.9,117,12,-17,0.917903478,-0.043673947,-0.001273043,0.037037037,-0.185185185,-0.058201058,0.201219512,0.056710842,,0.2,0.141176471,-0.2,"Richmond, VA",40060,3/19/2023
6/1/2021,6/30/2021,30,county,5,2915,f,"Summit County, UT",,Utah,UT,Condo/Co-op,3,795000,-0.042168675,0.445454545,1200000,0.001669449,0.000417257,685.0961538,0.202686298,0.60483774,549.4505495,-0.058084772,0.164225309,107,0.320987654,1.743589744,75,-0.074074074,0.923076923,87,-0.194444444,-0.084210526,194,-0.14159292,-0.420895522,1.8,-1,-6.8,25,15,-41,0.999801503,0.001283755,0.034053496,0.186915888,-0.146417445,0.135633837,0.087628866,0.030106742,-0.013863671,0.533333333,-0.219753086,0.020512821,"Heber, UT",25720,3/19/2023
12/1/2019,12/31/2019,30,county,5,1012,f,"Butler County, KS",,Kansas,KS,Multi-Family (2-4 Unit),4,367000,3.5875,1.801526718,100000,-0.364877739,,201.2061404,5.388774018,3.128565689,67.99493077,-0.188663722,,1,-0.666666667,0,1,-0.666666667,,3,2,,13,0.181818182,3.333333333,13,9.3,10,35,10,-245,1.005755001,0.062283664,0.070040716,1,1,1,,,,0,0,,"Wichita, KS",48620,3/19/2023
2/1/2020,2/29/2020,30,county,5,671,f,"Bear Lake County, ID",,Idaho,ID,All Residential,-1,40000,-0.703703704,-0.72826087,499900,0.027966276,0.481624185,40,-0.554006969,-0.351107773,178.0904881,0.141268083,0.36096425,3,-0.727272727,-0.7,2,1,0,3,-0.25,-0.625,45,-0.081632653,0,15,10.5,10.5,57,-134,-157,0.858311452,-0.065998802,-0.087593474,0,0,-0.1,,,,0,0,0,Idaho nonmetropolitan area,,3/19/2023
1/1/2022,1/31/2022,30,county,5,3014,f,"Rockbridge County, VA",,Virginia,VA,All Residential,-1,315000,0.285714286,0.654629022,272000,0.101214575,-0.000918274,137.0309951,-0.056086737,0.045936759,155.9876393,0.137782014,0.130174594,30,-0.25,-0.0625,21,-0.045454545,0.3125,28,0.076923077,0.166666667,112,-0.058823529,-0.026086957,3.7,0.7,0.1,92,11,-8,0.982454918,0.014166997,-0.007201599,0.3,0,0.20625,,,,0.142857143,0.097402597,-0.044642857,Virginia nonmetropolitan area,,3/19/2023
1/1/2018,1/31/2018,30,county,5,2585,f,"Hickman County, TN",,Tennessee,TN,Single Family Residential,6,108000,0,-0.309904153,149900,-0.166759311,0.051929825,76.82177349,0.048391262,0.007063612,96.40066964,-0.103141889,0.061541492,19,0.461538462,0.461538462,13,0.857142857,0.181818182,14,-0.263157895,-0.391304348,64,-0.123287671,-0.179487179,3.4,-2.2,-2.6,73,28,-15,0.967764711,-0.030250799,0.015430173,0.105263158,-0.356275304,0.028340081,0.078125,-0.004066781,-0.075721154,0.153846154,-0.131868132,-0.027972028,Tennessee nonmetropolitan area,,3/19/2023
1/1/2021,1/31/2021,30,county,5,1607,f,"Benton County, MO",,Missouri,MO,All Residential,-1,179500,0.477974475,0.165584416,210000,0.35483871,1.628285357,113.474026,0.114108619,0.126538621,129.1533098,0.112283959,0.607890842,33,-0.029411765,7.25,19,-0.05,,27,0.35,4.4,100,-0.038461538,1.222222222,3,-0.1,-8.3,81,19,-178,0.97761194,0.007090398,0.122414792,0,0,0,,,,0.052631579,0.002631579,,Missouri nonmetropolitan area,,3/19/2023
