,GEOID,mean_household_size_owner,transportation_drive_alone,transportation_public,one_person_household,more_than_200k,mhhi,mhhi_family,mhhi_nonfamily,vacant_units,renter_occuppied,black_homeowners,owners_25_34,mean_household_size_renter,median_number_rooms,median_gross_rent,median_year_built,plumbing_complete,kitchen_complete,median_gross_rent_frac_income,lower_quartile_home_value,median_home_value,upper_quartile_home_value,electricity_cost
1117,37173,2.49,4621,46,1485,98,48608.0,63769.0,24422.0,2896,1307,17,478,2.64,5.0,655.0,1989,5505,5496,23.7,88600.0,169000.0,271900.0,145
1118,8053,1.96,199,0,129,28,45714.0,61389.0,25000.0,1007,86,0,26,1.86,4.3,838.0,1986,442,442,24.5,259600.0,338600.0,479500.0,10
1119,21003,2.73,6684,50,1935,152,47495.0,65347.0,24896.0,1595,1862,0,579,2.49,5.8,748.0,1988,7518,7475,30.6,82800.0,132900.0,219400.0,52
1120,22127,2.62,3697,13,1352,209,43710.0,55304.0,22414.0,1725,1497,547,331,2.4,5.1,591.0,1978,4722,4705,26.8,47400.0,90900.0,156600.0,42
1121,47189,2.75,56747,439,10813,5139,82224.0,96752.0,40936.0,3988,12338,1791,3788,2.55,6.4,1171.0,1995,52846,52719,28.8,216000.0,300800.0,395700.0,676
1122,12117,2.63,182073,1473,46383,16785,73002.0,89522.0,45281.0,11834,61499,8751,11134,2.43,5.8,1397.0,1987,180386,180053,30.9,195300.0,280100.0,381700.0,3193
1123,28039,2.84,6397,0,1975,312,47385.0,56946.0,21125.0,1585,1707,418,1157,2.4,5.6,743.0,1988,8567,8450,24.0,73200.0,135400.0,200600.0,90
1124,72113,2.64,31623,91,16888,455,17747.0,22425.0,11308.0,13555,15714,2250,1673,2.52,4.8,424.0,1975,51321,51340,31.8,72500.0,98900.0,134700.0,13103
1125,12039,2.57,13863,97,5132,314,42661.0,53514.0,30036.0,2940,4221,5618,568,2.58,5.3,689.0,1984,15701,15683,29.1,61700.0,105600.0,190300.0,133
1126,21033,2.42,4493,1,1396,197,48280.0,66833.0,26423.0,848,1287,100,423,2.26,5.5,635.0,1977,5248,5253,28.1,52200.0,93600.0,161200.0,187
1127,35033,1.95,867,0,819,18,37549.0,47164.0,14590.0,1020,228,0,178,2.28,5.0,532.0,1984,1968,2129,17.0,28700.0,106100.0,186700.0,209
1128,8027,2.15,1291,0,616,87,59877.0,71058.0,52560.0,2001,274,0,86,2.66,5.0,772.0,1989,2103,2111,24.9,203800.0,262700.0,480800.0,165
1129,2220,2.58,2986,22,1021,209,82083.0,96838.0,46794.0,704,1258,0,181,2.12,4.9,1232.0,1979,3389,3365,30.5,273300.0,367800.0,482400.0,36
1130,22125,3.02,4889,15,1073,315,63450.0,76188.0,34875.0,1210,1078,708,142,3.01,5.4,916.0,1991,3841,3852,51.0,78300.0,215300.0,368800.0,93
1131,44009,2.52,52452,925,12975,6460,92001.0,113683.0,48718.0,14494,11878,164,2224,2.13,5.9,1172.0,1977,50706,50440,29.8,281800.0,379200.0,521800.0,2885
1132,51063,2.22,5906,44,1967,79,51612.0,66735.0,22524.0,1238,961,124,469,2.84,5.6,760.0,1985,6673,6673,24.0,111700.0,175500.0,281500.0,320
1133,42133,2.58,183207,1598,44296,10610,72543.0,86910.0,40761.0,9986,43968,3851,13765,2.36,6.3,1025.0,1976,175911,175056,29.2,137600.0,191000.0,275300.0,11308
1134,20119,2.57,1527,0,517,127,66042.0,76875.0,38950.0,263,519,0,113,2.17,6.2,680.0,1962,1625,1632,19.5,73100.0,122600.0,175800.0,39
1135,37093,2.9,17337,212,5411,659,53456.0,67071.0,29088.0,2409,5439,4039,2162,2.84,5.7,923.0,1998,17701,17661,30.0,93300.0,154400.0,214100.0,221
1136,13013,2.93,31971,66,5787,1157,68365.0,76565.0,41639.0,1443,6044,2189,3380,2.88,6.4,1059.0,1998,28012,27939,28.6,148000.0,183200.0,247200.0,315
1137,12045,2.26,3555,0,1475,286,53812.0,71411.0,38719.0,3365,1188,183,239,2.23,5.0,1095.0,1989,5499,5458,35.0,99300.0,190700.0,313100.0,64
1138,13027,2.67,5354,42,2050,251,39770.0,60372.0,18947.0,1339,1840,1292,275,2.72,5.6,649.0,1985,6004,5965,37.8,54900.0,105700.0,194900.0,59
1139,31013,2.38,4092,10,1508,25,63366.0,78478.0,29752.0,678,1146,20,407,2.17,5.9,714.0,1967,4556,4519,23.0,71800.0,132300.0,197100.0,69
1140,5003,2.81,6090,14,2322,197,42683.0,56218.0,22334.0,2227,1900,1041,276,2.23,5.6,561.0,1974,7232,7210,29.4,49800.0,78100.0,121300.0,121
1141,5007,2.81,108778,141,21945,10665,76887.0,87682.0,44624.0,9643,33398,615,8357,2.56,5.8,1002.0,1997,100988,100629,22.2,144300.0,211100.0,326000.0,3324
1142,21127,3.03,3702,32,1442,144,37014.0,49674.0,21354.0,1984,1430,0,272,2.62,5.7,696.0,1986,5459,5466,35.3,45300.0,91900.0,153200.0,110
1143,6009,2.59,12145,67,3726,1370,70119.0,85798.0,39684.0,10667,3111,193,691,2.99,5.6,1430.0,1989,16733,16785,33.8,262400.0,354600.0,479600.0,1624
1144,46137,3.01,426,1,114,70,38750.0,40341.0,26667.0,213,305,0,19,4.34,5.2,623.0,1987,679,689,27.3,32800.0,78000.0,125000.0,2
1145,20203,2.52,677,0,262,52,63306.0,78861.0,31824.0,119,197,13,59,1.84,6.2,640.0,1971,897,891,33.0,70300.0,86400.0,168500.0,48
1146,51061,2.9,28243,277,5774,4901,111368.0,129748.0,60323.0,2494,5962,1005,1820,2.59,7.2,1412.0,1987,25358,25201,24.2,322000.0,434500.0,604500.0,690
1147,48045,2.27,374,0,205,9,38469.0,45625.0,22049.0,367,180,5,20,2.28,5.3,594.0,1962,554,557,18.1,34400.0,72100.0,136500.0,34
1148,20081,2.82,1395,0,314,77,58841.0,72098.0,40977.0,221,312,0,130,2.82,6.1,652.0,1975,1318,1333,18.3,70200.0,111300.0,185700.0,37
1149,48201,3.02,1684671,51902,437740,159406,65788.0,77130.0,44693.0,163137,747782,125209,98102,2.56,5.3,1164.0,1987,1652245,1647141,30.5,134600.0,201200.0,312300.0,74624
