,GEOID,mean_household_size_owner,transportation_drive_alone,transportation_public,one_person_household,more_than_200k,mhhi,mhhi_family,mhhi_nonfamily,vacant_units,renter_occuppied,black_homeowners,owners_25_34,mean_household_size_renter,median_number_rooms,median_gross_rent,median_year_built,plumbing_complete,kitchen_complete,median_gross_rent_frac_income,lower_quartile_home_value,median_home_value,upper_quartile_home_value,electricity_cost
15,0.493563076231167,0.3279132791327913,0.07867836116784813,0.14569635205419185,0.11355864210091803,0.21892199726356457,0.6427326086201508,0.6983067263953509,0.4815120466432307,0.09387938450585448,0.07783834623079643,0.1040957573374991,0.10154447808535179,0.2771618625277162,0.381578947368421,0.6107809847198642,0.9765469061876246,0.10913718244914739,0.10995597664324791,0.5404761904761904,0.38674102295521146,0.44652206432311137,0.3830709938581364,0.02243943645929896
16,0.6337418484371486,0.27100271002710025,0.003555809203412231,0.0,0.003070912378416405,0.0010291480516627545,0.38471850797068735,0.37613504678554754,0.2753686873017234,0.004593745894657439,0.0015543738678197863,0.00045002638085680884,0.008019752018454441,0.28603104212860314,0.4736842105263158,0.32215619694397285,0.9925149700598802,0.003343494640070969,0.0033751442778449403,0.4095238095238094,0.1572903852853926,0.15956120668162552,0.12049869593403563,0.0003148006947762068
17,0.7463739599730155,0.23848238482384826,0.008793704193199567,0.00038721380831560485,0.013452247370654823,0.0027770282693359246,0.25961171117980064,0.31400799072937025,0.20944439681042615,0.021502460027206502,0.005144515586869353,0.0004034719276647252,0.01873378027681661,0.1973392461197339,0.4605263157894737,0.21731748726655348,0.9830339321357284,0.010548566318153079,0.010643890976700989,0.4976190476190475,0.07982965404255941,0.08892213080694755,0.067673806046251,0.00463025946537667
18,0.25326062514054415,0.34146341463414637,0.0020815811606391924,4.369338693055464e-05,0.002798820937087575,0.0007330590530405236,0.2833258083561977,0.38280551856143813,0.34984566578067394,0.0027545524276082435,0.0012989289679525174,0.00034139932340861357,0.005316464821222607,0.2039911308203991,0.4473684210526315,0.2096774193548387,0.9790419161676646,0.0022460254305132505,0.0022601249769793642,0.3476190476190476,0.08129543207189978,0.08617967256710712,0.06332778180474864,0.001007678605891677
19,0.6467843489993254,0.27371273712737126,0.004732668508951099,6.780008316810202e-05,0.003674397241876501,0.0012870320182046978,0.3909005661098184,0.3644948717505232,0.33082182971791135,0.00511499196942023,0.0017808794761988243,0.0006879713638385698,0.012173803344867359,0.33924611973392454,0.4605263157894737,0.3527164685908319,0.9930139720558881,0.004594525395653878,0.00463026276042189,0.3309523809523809,0.1589816676269392,0.16197124574087923,0.12479298179171057,0.00012655304312611328
20,0.05647065437373511,0.2628726287262873,0.0021557731587168085,6.930675168294873e-05,0.0027755652583415216,0.0006256074003147139,0.2257145834056889,0.27698889023412954,0.17836319986281407,0.008297559466549139,0.001800914370306061,0.00525030777666277,0.003577350057670127,0.1973392461197339,0.381578947368421,0.16893039049235992,0.9905189620758482,0.002408001307827492,0.0024236246727726814,0.44047619047619047,0.06686315609070233,0.08144269924374636,0.07527934846888014,0.0004286984335897087
21,0.7041825950078705,0.2655826558265582,0.0017091193079418478,0.0,0.002908122627194028,0.000300864627632267,0.17169450908206857,0.21942796524666908,0.11278187430335249,0.011382658185470372,0.001360146699946852,2.069086808537052e-05,0.0037125144175317185,0.2838137472283813,0.39473684210526316,0.15195246179966043,0.9875249500998003,0.0024614924138793193,0.0024749842426408423,0.669047619047619,0.04408722055787512,0.05285464971328846,0.03823466564845526,0.00015660939086856518
22,0.3655835394648077,0.2628726287262873,0.008847771236333053,0.0009266011366307276,0.008096464555438632,0.0026313715845298273,0.3621991456256729,0.4070775031565111,0.3248520963731459,0.009759591139664283,0.005496239283418621,0.0008845346106495898,0.02126585928489043,0.21951219512195125,0.4605263157894737,0.30178268251273344,0.9860279441117764,0.007964164565087258,0.008025464621765637,0.49523809523809526,0.15311855550957773,0.150087260034904,0.11475573532919321,0.004827998595261221
23,0.7734427704070159,0.24932249322493222,0.0035948576234530816,0.0,0.0051964814158057225,0.002012927627730167,0.34504914388913976,0.47310767882572025,0.3000300094315356,0.007615278019095405,0.0022639430341177555,0.0,0.006830305651672434,0.13968957871396898,0.4342105263157895,0.2652801358234295,0.9870259481037923,0.003827619201023183,0.003879926795898285,0.4738095238095237,0.20464629084869673,0.22205601263192884,0.19277721814092602,0.0010931019100018035
24,0.2963514729030807,0.3333333333333333,0.004681605190436141,0.00018532022732614553,0.004931366678100709,0.0013538908243452014,0.27563643941235716,0.2842128324425919,0.23062248135128183,0.008645056849724332,0.0025065878627498453,0.008266001800105524,0.014192257785467129,0.3481152993348115,0.39473684210526316,0.30390492359932086,0.9870259481037923,0.004626980673483077,0.004668250607957512,0.6785714285714285,0.11929290867864618,0.11343804537521815,0.0785906050338343,0.001121576344705179
25,0.2531762986282887,0.24932249322493222,0.003391805839240658,6.62934146532553e-05,0.003651141563130447,0.0012679295021645538,0.4037648039454034,0.44606257675078265,0.27310726228243165,0.004975145461557042,0.0012104415189788883,0.0,0.009037990196078432,0.212860310421286,0.5263157894736842,0.22750424448217316,0.9765469061876246,0.003195342307017312,0.003205870429226209,0.3666666666666666,0.10350760682421148,0.1070389761489238,0.08950740402141762,0.0006280194765133371
26,0.5345457611873172,0.21951219512195114,0.1346254355400697,0.03293276039751942,0.24826251010168546,0.08624308429223984,0.29349494668843124,0.3597846077566575,0.2978007373746035,0.27604853097600146,0.12815320015694,0.3044868147443126,0.24990989042675896,0.1773835920177383,0.4342105263157895,0.26825127334465193,0.9765469061876246,0.16508917989119065,0.16563157379701604,0.46904761904761894,0.08783505712587987,0.1032161555721765,0.08795525250659535,0.17165496578322098
27,0.6187598380930964,0.2953929539295393,0.0027625255316592575,3.766671287116779e-05,0.0042150917727222514,0.0007593250125957215,0.22704129475914286,0.2693902024202801,0.13427077081368433,0.01875214537256381,0.0016389656429392305,0.01620612242786646,0.0035322952710495964,0.2616407982261641,0.4078947368421052,0.16171477079796265,0.9920159680638722,0.003461896301781194,0.0034848531815278166,0.5380952380952381,0.059196009475691196,0.07745366907670573,0.07662454644839277,0.00028316243399467846
